row,col,score,x,y,lon,lat
604,263,0.9999999999999999,327070.0,2622680.0,121.3037953306554,23.70575981724058
602,270,0.9999999999999999,327140.0,2622700.0,121.30447936641012,23.705947913358944
603,270,0.9999999999999999,327140.0,2622690.0,121.30448053332982,23.70585762676333
709,277,0.99793025782352,327210.0,2621630.0,121.30529051431067,23.696294757866756
604,270,0.9945758708261326,327140.0,2622680.0,121.30448170024374,23.705767340166606
604,264,0.9924347677646063,327080.0,2622680.0,121.30389338343636,23.705760892130524
707,274,0.9863021663930142,327180.0,2621650.0,121.3049940449079,23.696472110336117
603,274,0.9796546618336875,327180.0,2622690.0,121.30487274492025,23.705861924230888
708,274,0.9785467444071331,327180.0,2621640.0,121.3049952109499,23.696381823605932
709,274,0.9785467444071331,327180.0,2621630.0,121.30499637698611,23.696291536874657
709,275,0.9779757509767101,327190.0,2621630.0,121.30509442275519,23.69629261060074
709,276,0.9773042607537982,327200.0,2621630.0,121.30519246853001,23.69629368426477
664,239,0.9773042394837878,326830.0,2622080.0,121.30151219523871,23.700316811961606
602,269,0.9765191846682361,327130.0,2622700.0,121.30438131345957,23.705946838832286
604,274,0.9764603186578716,327180.0,2622680.0,121.30487391156454,23.705771637615833
607,261,0.974349267698502,327050.0,2622650.0,121.3036027276378,23.705486807601428
603,263,0.9743066781816424,327070.0,2622690.0,121.30379416326966,23.705850103805222
605,269,0.9734748724638811,327130.0,2622670.0,121.30438481440356,23.705675979055854
608,269,0.9729625376183909,327130.0,2622640.0,121.3043883152954,23.705405119269464
605,263,0.9725938042404257,327070.0,2622670.0,121.30379649803535,23.705669530674832
664,237,0.972143477178579,326810.0,2622080.0,121.30131609805986,23.700314659566875
605,273,0.9713924441247398,327170.0,2622670.0,121.30477702543158,23.705680276735052
603,269,0.9697390072483941,327130.0,2622690.0,121.30438248044672,23.705856552241254
730,289,0.9689784021066598,327330.0,2621420.0,121.3064915283326,23.694411613195925
731,289,0.9689784021066598,327330.0,2621410.0,121.30649269323101,23.694321326371607
603,271,0.9684710022500688,327150.0,2622690.0,121.30457858621874,23.70585870122333
706,274,0.967888633269865,327180.0,2621660.0,121.30499287886009,23.69656239706518
601,270,0.9663597127484903,327140.0,2622710.0,121.3044781994846,23.70603819995346
601,271,0.9663597127484903,327150.0,2622710.0,121.30457625250833,23.706039274422626
610,264,0.9658561221046186,327080.0,2622620.0,121.30390038722473,23.705219172691926
